Date,Open,High,Low,Close,Volume,Change
28-Mar-23,88.1,88.1,87.1,87.9,"8,000",-0.95
29-Mar-23,87.9,89.8,86.68,87.64,"17,000",-0.26
30-Mar-23,87.1,89.48,87.1,88.47,"5,000",0.83
31-Mar-23,88,88.75,87.11,88.08,"9,000",-0.39
03-Apr-23,88,88,88,88,"1,500",-0.08
04-Apr-23,88.5,90.49,87.1,89.31,"16,500",1.31
05-Apr-23,89.5,90.4,88.1,89.47,"5,500",0.16
06-Apr-23,89.99,90.5,89,89.28,"22,500",-0.19
07-Apr-23,89.49,89.49,88.51,88.51,"2,000",-0.77
10-Apr-23,87.5,87.5,87.5,87.5,"1,500",-1.01
11-Apr-23,87.3,87.5,85.1,86.1,"10,500",-1.4
12-Apr-23,87,88.9,85.75,87.7,"21,500",1.6
13-Apr-23,86.3,87.7,85.92,85.94,"31,500",-1.76
17-Apr-23,86,86.4,85.15,86.26,"17,500",0.32
18-Apr-23,86,87.4,85.3,86.71,"8,000",0.45
19-Apr-23,86,86,85.35,85.63,"9,500",-1.08
20-Apr-23,85.05,87.45,85.05,86.25,"24,500",0.62
